Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1484704715,2017-01-18T01:58:35Z,BAW32,"59.48378,28.367798",38000,474,258
1484704654,2017-01-18T01:57:34Z,BAW32,"59.509171,28.623837",38000,475,259
1484704591,2017-01-18T01:56:31Z,BAW32,"59.535233,28.895325",38000,474,259
1484704527,2017-01-18T01:55:27Z,BAW32,"59.560188,29.160841",38000,472,259
1484704466,2017-01-18T01:54:26Z,BAW32,"59.583801,29.41745",38000,473,259
1484704403,2017-01-18T01:53:23Z,BAW32,"59.607952,29.687237",38000,474,260
1484704339,2017-01-18T01:52:19Z,BAW32,"59.631649,29.957254",38000,473,260
1484704276,2017-01-18T01:51:16Z,BAW32,"59.654526,30.225586",38000,472,260
1484704212,2017-01-18T01:50:12Z,BAW32,"59.677177,30.4953",38000,470,260
1484704151,2017-01-18T01:49:11Z,BAW32,"59.698059,30.750275",38000,467,260
1484704088,2017-01-18T01:48:08Z,BAW32,"59.719574,31.020905",38000,464,261
1484704027,2017-01-18T01:47:07Z,BAW32,"59.73909,31.272394",38000,462,261
1484703964,2017-01-18T01:46:04Z,BAW32,"59.759525,31.541937",38000,463,261
1484703903,2017-01-18T01:45:03Z,BAW32,"59.777729,31.790739",38000,465,261
1484703840,2017-01-18T01:44:00Z,BAW32,"59.796936,32.058472",38000,468,261
1484703779,2017-01-18T01:42:59Z,BAW32,"59.814926,32.314636",38000,468,263
1484703717,2017-01-18T01:41:57Z,BAW32,"59.829819,32.579105",38000,469,263
1484703656,2017-01-18T01:40:56Z,BAW32,"59.844254,32.844387",38000,471,264
1484703595,2017-01-18T01:39:55Z,BAW32,"59.857681,33.104919",38000,470,264
1484703531,2017-01-18T01:38:51Z,BAW32,"59.871532,33.379116",38000,468,264
1484703470,2017-01-18T01:37:50Z,BAW32,"59.884369,33.647461",38000,465,264
1484703408,2017-01-18T01:36:48Z,BAW32,"59.896042,33.902618",38000,468,264
1484703347,2017-01-18T01:35:47Z,BAW32,"59.907658,34.165302",38000,465,265
1484703286,2017-01-18T01:34:46Z,BAW32,"59.918518,34.426208",38000,463,265
1484703225,2017-01-18T01:33:45Z,BAW32,"59.929184,34.692444",38000,463,265
1484703161,2017-01-18T01:32:41Z,BAW32,"59.939117,34.954376",38000,464,265
1484703099,2017-01-18T01:31:39Z,BAW32,"59.94841,35.214569",38000,465,265
1484703037,2017-01-18T01:30:37Z,BAW32,"59.957375,35.480247",38000,467,266
1484702948,2017-01-18T01:29:08Z,BAW32,"59.970596,35.873695",38000,469,264
1484702905,2017-01-18T01:28:25Z,BAW32,"59.979309,36.049171",38000,468,264
1484702844,2017-01-18T01:27:24Z,BAW32,"59.987228,36.310192",38000,468,266
1484702783,2017-01-18T01:26:23Z,BAW32,"59.993958,36.573486",38000,468,267
1484702720,2017-01-18T01:25:20Z,BAW32,"60.00032,36.847767",38000,468,267
1484702659,2017-01-18T01:24:19Z,BAW32,"60.005928,37.110737",38000,470,267
1484702598,2017-01-18T01:23:18Z,BAW32,"60.010941,37.374638",38000,471,268
1484702537,2017-01-18T01:22:17Z,BAW32,"60.01561,37.638309",38000,470,267
